Column1,time,temperature,humidity,dew_point,wind_dir,wind_spd,uv_idx,visibility,cloudiness,ceiling,precip_prob,precip_1h,predict
0,2022.11.11 20:00,10,91,8.33333,138,5.6327,0,16.0934,93,9144,0,0,-0.24252272
1,2022.11.11 21:00,10.5556,90,8.88889,134,5.6327,0,16.0934,95,9144,2,0,-0.10386586
2,2022.11.11 22:00,11.1111,90,9.44444,126,5.6327,0,16.0934,96,9144,7,0,-0.06563272
3,2022.11.11 23:00,12.2222,87,10,124,5.6327,0,16.0934,98,9144,7,0,0.09131982
4,2022.11.12 0:00,13.8889,77,10,129,7.40298,1,16.0934,99,9144,7,0,30.167414
5,2022.11.12 1:00,16.1111,68,10,142,7.40298,1,16.0934,99,9144,7,0,41.28133
6,2022.11.12 2:00,17.7778,63,10.5556,153,9.3342,1,16.0934,99,3139.44,7,0,45.747917
7,2022.11.12 3:00,18.8889,58,10.5556,163,13.0357,1,16.0934,100,3139.44,11,0,47.52935
8,2022.11.12 4:00,21.1111,49,10,179,16.7372,1,16.0934,100,3108.96,49,0,52.1504
9,2022.11.12 5:00,20,65,13.3333,196,20.4387,1,8.04672,100,3108.96,58,2.286,46.4357
10,2022.11.12 6:00,19.4444,73,14.4444,204,22.2089,0,16.0934,100,3108.96,49,0,11.283628
11,2022.11.12 7:00,19.4444,78,15.5556,206,24.1402,0,16.0934,100,3108.96,49,0,11.988944
12,2022.11.12 8:00,19.4444,81,16.1111,209,24.1402,0,8.04672,100,2011.68,58,2.286,11.306399
13,2022.11.12 9:00,18.8889,83,15.5556,213,24.1402,0,16.0934,100,2011.68,49,0,11.005445
14,2022.11.12 10:00,18.3333,86,16.1111,220,25.9104,0,16.0934,100,2011.68,49,0,9.667097
15,2022.11.12 11:00,18.8889,85,16.1111,232,25.9104,0,6.43738,100,2011.68,74,3.048,20.038343
16,2022.11.12 12:00,18.8889,83,16.1111,247,24.1402,0,6.43738,100,1981.2,74,3.048,19.056599
17,2022.11.12 13:00,18.3333,81,15,260,24.1402,0,6.43738,100,1981.2,65,3.048,13.717676
18,2022.11.12 14:00,18.3333,79,14.4444,271,24.1402,0,6.43738,100,548.64,65,3.048,13.887288
19,2022.11.12 15:00,17.7778,77,13.8889,279,24.1402,0,16.0934,100,548.64,49,0,6.05816
20,2022.11.12 16:00,17.2222,75,12.7778,284,25.9104,0,8.04672,100,548.64,70,2.032,11.676063
