Column1,time,temperature,humidity,dew_point,wind_dir,wind_spd,uv_idx,visibility,cloudiness,ceiling,precip_prob,precip_1h,predict(14¿œ),predict(13¿œ)
0,2022.11.12 20:00,13.3333,66,7.22222,274,13.0357,0,9.65606,81,518.16,34,0,20.43472526,
1,2022.11.12 21:00,12.7778,61,5.55556,288,11.1045,0,11.2654,72,9144,22,0,8.439427496,
2,2022.11.12 22:00,12.2222,60,4.44444,298,11.1045,0,16.0934,49,9144,0,0,2.613349942,
3,2022.11.12 23:00,11.6667,53,2.22222,303,9.3342,1,16.0934,25,9144,0,0,35.67790102,
4,2022.11.13 0:00,11.1111,55,2.77778,301,9.3342,2,16.0934,0,9144,0,0,60.99027083,
5,2022.11.13 1:00,12.2222,53,2.77778,302,9.3342,2,16.0934,21,9144,0,0,52.7594566,
6,2022.11.13 2:00,12.7778,52,2.77778,304,7.40298,3,16.0934,41,9144,0,0,57.04467747,
7,2022.11.13 3:00,12.7778,52,3.33333,310,7.40298,1,16.0934,61,548.64,0,0,33.95822214,
8,2022.11.13 4:00,12.7778,52,3.33333,317,5.6327,1,16.0934,74,548.64,0,0,33.8760116,
9,2022.11.13 5:00,13.3333,54,4.44444,331,3.70149,1,16.0934,87,548.64,0,0,38.94077472,
10,2022.11.13 6:00,13.8889,59,6.11111,8,3.70149,0,16.0934,100,548.64,0,0,4.155280441,
11,2022.11.13 7:00,12.7778,64,6.11111,63,5.6327,0,16.0934,100,9144,0,0,1.166664207,
12,2022.11.13 8:00,12.2222,69,6.66667,79,7.40298,0,16.0934,99,9144,0,0,2.163840526,
13,2022.11.13 9:00,11.1111,72,6.66667,84,7.40298,0,16.0934,99,9144,0,0,1.589647778,
14,2022.11.13 10:00,10.5556,71,5.55556,102,7.40298,0,16.0934,87,9144,0,0,1.264903748,
15,2022.11.13 11:00,10.5556,73,5.55556,145,5.6327,0,16.0934,75,9144,0,0,0.233536374,
16,2022.11.13 12:00,9.44444,74,5,167,5.6327,0,16.0934,62,9144,0,0,-0.278134373,
17,2022.11.13 13:00,8.88889,77,5,166,5.6327,0,16.0934,72,9144,0,0,-0.232996757,
18,2022.11.13 14:00,8.88889,81,5.55556,159,3.70149,0,16.0934,82,9144,0,0,-0.324587345,
19,2022.11.13 15:00,8.33333,85,6.11111,155,3.70149,0,16.0934,91,9144,0,0,-0.38709516,
20,2022.11.13 16:00,8.33333,84,5.55556,164,3.70149,0,16.0934,88,9144,0,0,-0.294556132,-0.286635028
21,2022.11.13 17:00,8.33333,81,5,171,5.6327,0,11.2654,85,1036.32,0,0,-0.347983671,-0.192426765
22,2022.11.13 18:00,6.66667,82,3.33333,177,5.6327,0,11.2654,82,822.96,0,0,-0.087226812,-0.183971085
23,2022.11.13 19:00,7.77778,78,4.44444,190,5.6327,0,11.2654,87,822.96,0,0,0.08626683,-0.236849183
24,2022.11.13 20:00,7.77778,82,5,209,5.6327,0,11.2654,92,822.96,0,0,0.291659795,-0.362534211
25,2022.11.13 21:00,7.77778,83,5.55556,218,5.6327,0,11.2654,96,822.96,0,0,0.515351921,-0.253309397
26,2022.11.13 22:00,8.33333,82,5.55556,218,5.6327,0,11.2654,95,822.96,1,0,0.066122202,-0.348903178
27,2022.11.13 23:00,9.44444,80,6.11111,217,7.40298,0,11.2654,93,822.96,1,0,1.297241225,-0.333948004
28,2022.11.14 0:00,10,75,5.55556,218,7.40298,0,11.2654,91,822.96,1,0,1.148179383,33.98107966
29,2022.11.14 1:00,10.5556,69,5.55556,222,9.3342,1,11.2654,94,792.48,1,0,26.89657211,37.58283346
30,2022.11.14 2:00,11.6667,64,5,227,9.3342,1,16.0934,97,579.12,1,0,32.37685539,44.4268538
31,2022.11.14 3:00,12.2222,63,5.55556,235,9.3342,1,16.0934,100,5608.32,1,0,29.6237735,42.32286525
32,2022.11.14 4:00,12.7778,63,6.11111,245,11.1045,1,16.0934,100,5577.84,0,0,30.8168433,43.4543151
33,2022.11.14 5:00,11.6667,69,6.11111,255,13.0357,1,16.0934,100,5577.84,0,0,26.60478226,44.50082261
34,2022.11.14 6:00,10.5556,72,5.55556,261,13.0357,1,16.0934,100,5577.84,0,0,21.64414161,29.94970448
35,2022.11.14 7:00,10,70,5,265,13.0357,0,16.0934,99,5577.84,0,0,1.08104729,-0.058950311
36,2022.11.14 8:00,9.44444,68,3.88889,270,11.1045,0,16.0934,99,5577.84,0,0,0.558029856,0.176959155
37,2022.11.14 9:00,8.33333,68,2.77778,275,9.3342,0,16.0934,98,5547.36,0,0,0.754107773,-0.07371085
38,2022.11.14 10:00,7.77778,69,2.22222,288,7.40298,0,16.0934,70,5547.36,0,0,0.252075218,-0.3391714
39,2022.11.14 11:00,6.66667,71,1.66667,304,7.40298,0,16.0934,42,9144,0,0,1.759149452,-0.396684137
40,2022.11.14 12:00,6.11111,72,1.66667,313,7.40298,0,16.0934,14,9144,0,0,1.272221159,-0.492819287
41,2022.11.14 13:00,5.55556,74,1.11111,316,7.40298,0,16.0934,9,9144,0,0,0.576525984,-0.590722449
42,2022.11.14 14:00,5,77,1.11111,317,7.40298,0,16.0934,5,9144,0,0,0.920185142,-0.328488284
43,2022.11.14 15:00,4.44444,80,1.11111,317,5.6327,0,16.0934,0,9144,0,0,0.02620817,0.198576532
44,2022.11.14 16:00,3.88889,84,1.11111,316,5.6327,0,16.0934,0,9144,0,0,-0.016016055,
45,2022.11.14 17:00,2.77778,88,1.11111,315,3.70149,0,1.62544,0,9144,0,0,-0.030501682,
46,2022.11.14 18:00,2.22222,92,1.11111,315,3.70149,0,1.62544,0,9144,0,0,0.18387112,
47,2022.11.14 19:00,1.11111,100,1.11111,318,1.93121,0,1.62544,7,9144,0,0,-0.065828324,
48,2022.11.14 20:00,2.22222,100,2.22222,333,1.93121,0,1.62544,13,9144,0,0,0.175776577,
49,2022.11.14 21:00,2.77778,100,2.77778,18,1.93121,0,1.62544,20,9144,0,0,-0.753165808,
50,2022.11.14 22:00,3.33333,100,3.33333,15,1.93121,0,1.62544,14,9144,0,0,-0.860880767,
