id,capacity,wth1_id,wth1_dist,wth2_id,wth2_dist,wth3_id,wth3_dist,asos_station,asos_dist
0,472.39,1,4539,1,5486,1,2497,108,16196
1,30,2,1140,2,1745,2,867,119,14969
2,99.9,3,429,3,7929,3,2054,279,8111
3,97.9,4,355,4,5562,4,2391,279,17267
4,99.6,5,870,4,6749,5,1735,137,16766
5,50,6,1061,5,2351,6,2198,156,6842
6,70,7,2228,6,5921,7,2380,108,11351
7,99,8,633,7,2297,8,2382,108,10633
8,49.5,9,574,1,2026,9,2014,108,13931
9,36,10,377,8,4254,10,2481,108,12626
10,99,11,190,9,22494,11,1525,174,16968
11,100,12,752,10,10761,12,2761,254,11498
12,99,13,510,9,14308,13,1876,174,18284
13,99,14,1169,11,11039,14,1253,156,19369
14,100,15,521,12,3137,15,2061,252,5552
15,97.9,16,844,13,10285,16,2586,260,26012
16,99,17,829,14,12989,17,3272,165,14802
17,365,18,78,15,11304,18,1221,156,9336
18,97.2,19,551,14,19213,19,2215,268,18020
19,300,20,178,16,2497,20,461,244,2219
20,98.6,21,1415,17,4934,21,2059,129,2607
